Course Information|WikiPage|Seating Chart|
Course Information|WikiPage|VS Code Configuration|
Course Information|ExternalUrl|Java Resource - Univ. of Helsinki|https://java-programming.mooc.fi/
Course Information|ExternalUrl|Course TextBook|http://apcsa-book.ausdk12.org/apcsa/r/course/syllabus.html
Course Information|ExternalUrl|NY Times Yearly Subscribe|http://nytimes.com/DigitalPass
Course Information|WikiPage|Semester 1 Schedule|
Course Information|WikiPage|Semester 1 Grades|
Course Information|ExternalUrl|CS in the News Survey|https://script.google.com/macros/s/AKfycbwEO-XQnE0oobahFNqJuHE2xGK5_wXQgpKYDAHxvLKxLfsF-qd9Cil7Z91Caha3b4f_Ig/exec
Course Information|WikiPage|Semester 2 Grades|
Course Information|WikiPage|Semester 2 Schedule|
Final Moments|Assignment|Final: Connect-4|
Final Moments|Assignment|Semester 1 Final: On Computer|
Final Moments|Assignment|Semester 1: Final Project|
AP Review|ContextModuleSubHeader|Slides|
AP Review|ExternalUrl|Week 15|https://docs.google.com/presentation/d/1c_H4NxGteLAnkUyVm6UVXy21ISD5AyMeq_TN9SH_gPE/edit?slide=id.g736c7ae588_0_46#slide=id.g736c7ae588_0_46
AP Review|ContextModuleSubHeader|Reviews|
AP Review|Assignment|Week 13: AP Classroom: FRQ: Methods and Control Structures |
AP Review|Assignment|Week 13: AP Classroom: MC - Recursion|
AP Review|Assignment|Week 14: FRQ: 2D Arrays - 3 questions|
AP Review|Assignment|Week 14: MC Review: 2D Arrays|
AP Review|Assignment|Week 15: AP Classroom: FRQ: Classes|
AP Review|Assignment|Week 15: MC Review ArrayLists|
AP Review|ContextModuleSubHeader|Assessments|
AP Review|Assignment|Semester Final Part 1: AP Test|
AP Review|ContextModuleSubHeader|CS in the News|
AP Review|Assignment|Week 15: CS in the News: Artemis|
Concept #9: Data and Regression|ContextModuleSubHeader|Slides|
Concept #9: Data and Regression|ExternalUrl|Week 16|https://docs.google.com/presentation/d/1QvPw6GhxZ9McpCYJeuumMOYtjEox8jBTqIQ2LlyiYek/edit?slide=id.g120dc43d6d0_0_20#slide=id.g120dc43d6d0_0_20
Concept #9: Data and Regression|ContextModuleSubHeader|Assessments|
Concept #9: Data and Regression|Assignment|Data Project #1|
Concept #9: Data and Regression|Assignment|Data Project #1b|
Concept #9: Data and Regression|Assignment|Data Project #2|
Concept #9: Data and Regression|Assignment|Week 16: CS in the News: AI and Pancreatic Cancer|
Concept #9: Data and Regression|Assignment|Week 18: CS in the News: AI and Optimistic|
Concept #8: Recursion|ContextModuleSubHeader|Slides|
Concept #8: Recursion|ExternalUrl|Week 9|https://docs.google.com/presentation/d/1PvcweTnjfDkn-QVe0ADsfDhrXaDQOO6zrToTTpanaNg/edit#slide=id.g118a575b5fc_13_0
Concept #8: Recursion|ExternalUrl|Week 13|https://docs.google.com/presentation/d/1PvcweTnjfDkn-QVe0ADsfDhrXaDQOO6zrToTTpanaNg/edit?usp=sharing
Concept #8: Recursion|ExternalUrl|Week 14|https://docs.google.com/presentation/d/1qKGzZqkAC3wC6Hoe-SDQFYn1EJ8a8a7P4OMlP-5T8hE/edit?slide=id.g230f562d568_9_2#slide=id.g230f562d568_9_2
Concept #8: Recursion|ContextModuleSubHeader|Resources|
Concept #8: Recursion|ExternalUrl|Week 12: Recursive Analysis|https://docs.google.com/document/d/1a2jdeWnb9zTgJrhwOfQqkHneAtF9AjaU3S2JJM5MF3c/copy
Concept #8: Recursion|ExternalUrl|Week 13: Turn-in Recursion: Debug|https://docs.google.com/document/d/1E7U_3U_n3fWBolH6ebxEQ9o4iZS6gy2lW-cqfS7sh78/copy
Concept #8: Recursion|ExternalUrl|Week 13: Double Recursion|https://docs.google.com/document/d/17Dx3Jjlm4gDOMX3KMyU9wLBynZ_3xwCtJqapMfXXGLM/copy?usp=sharing
Concept #8: Recursion|ContextModuleSubHeader|Assessments|
Concept #8: Recursion|Assignment|Week 14: HW #1: Concept #8|
Concept #8: Recursion|Assignment|Week 14: CS in the News: Coding in 2026|
Concept #7: 2D Arrays|ContextModuleSubHeader|Slides|
Concept #7: 2D Arrays|WikiPage|Week 8|
Concept #7: 2D Arrays|ExternalUrl|Week 9/10|https://docs.google.com/presentation/d/1GNSpBo4nC2itsFkz1ZAmH5qcMH7enieOfnXGRB447Qc/edit?slide=id.g3324fefa0be_0_0#slide=id.g3324fefa0be_0_0
Concept #7: 2D Arrays|ExternalUrl|Week 12|https://docs.google.com/presentation/d/1vUMYfweP7BtmMq8A1BWqDtCl9BhcPbyLFV5aBMj31v0/edit?slide=id.g20846f30ad4_0_41#slide=id.g20846f30ad4_0_41
Concept #7: 2D Arrays|ContextModuleSubHeader|Resources and Code|
Concept #7: 2D Arrays|ExternalUrl|Week 8|https://github.com/ahs-cs-a/s2-w8/fork
Concept #7: 2D Arrays|ExternalUrl|Week 9/10|https://github.com/ahs-cs-a/s2-w9/fork
Concept #7: 2D Arrays|ExternalUrl|Week 11: Small Models: Demo|https://github.com/ahs-cs-a/small-models/fork
Concept #7: 2D Arrays|ExternalUrl|Week 12|https://github.com/ahs-cs-a/s2-w12/fork
Concept #7: 2D Arrays|ExternalUrl|Week 12: Binary Search Practice|https://docs.google.com/document/d/1hlkGl3V6S8AvGyVS_fV_aiWKWcJZvcBa4RsCQAomRrA/copy
Concept #7: 2D Arrays|ContextModuleSubHeader|Assessments|
Concept #7: 2D Arrays|Assignment|Week 10: Quiz #1: 2D Arrays/Exceptions|
Concept #7: 2D Arrays|Assignment|Week 11: Quiz #2: 2D Arrays|
Concept #7: 2D Arrays|Assignment|Week 13: Quiz #3: 2D Array |
Concept #7: 2D Arrays|Assignment|Week 14: Concept Test: 2D Array |
Concept #7: 2D Arrays|ContextModuleSubHeader|CS in the News|
Concept #7: 2D Arrays|Assignment|Week 8: CS in the News: OpenClaw Tech Stack|
Concept #7: 2D Arrays|Assignment|Week 10/11: CS in the News:  Coding after Coders|
Concept #7: 2D Arrays|ContextModuleSubHeader|Homework|
Concept #7: 2D Arrays|Assignment|Week 9: 2D Array: Image|
Concept #7: 2D Arrays|Assignment|Week 10: 2D Array: 3 Problems|
Concept #6: Arrays|ContextModuleSubHeader|Slides|
Concept #6: Arrays|ExternalUrl|Week 5|https://docs.google.com/presentation/d/1nGIc7n_nXjQp8t2IXoAmWCmaSYmp1v3PNY6zBnzJt1U/edit#slide=id.g296174bdc_068
Concept #6: Arrays|WikiPage|Week 6|
Concept #6: Arrays|WikiPage|Week 7|
Concept #6: Arrays|WikiPage|Week 7: Practice: Sorting Problems|
Concept #6: Arrays|WikiPage|Week 7: Practice: Binary Search|
Concept #6: Arrays|WikiPage|Week 7: Practice: Exception Handling|
Concept #6: Arrays|ContextModuleSubHeader|Assessments|
Concept #6: Arrays|Assignment|Quiz #1: Arrays|
Concept #6: Arrays|Assignment|Quiz #2: Arrays|
Concept #6: Arrays|Assignment|Test: Arrays|
Concept #6: Arrays|ContextModuleSubHeader|Homework|
Concept #6: Arrays|Assignment|Week 6: Concept #6: Arrays: HW #1|
Concept #6: Arrays|Assignment|Week 7: Concept #6: Arrays: HW #2|
Concept #6: Arrays|Assignment|Week 8: Concept #6: Arrays: HW #3|
Concept #6: Arrays|ContextModuleSubHeader|Resources and Code|
Concept #6: Arrays|ExternalUrl|Week 5|https://github.com/ahs-cs-a/s2-w5/fork
Concept #6: Arrays|ExternalUrl|Week 6|https://github.com/ahs-cs-a/s2-w6/fork
Concept #6: Arrays|ExternalUrl|Week 7|https://github.com/ahs-cs-a/s2-w7/fork
Concept #6: Arrays|ContextModuleSubHeader|CS in the News|
Concept #6: Arrays|Assignment|Week 5: CS in the News: AI and Ethics #3|
Concept #6: Arrays|Assignment|Week 6: CS in the News: AI and Ethics #4|
Concept #6: Arrays|Assignment|Week 7: CS in the News: AI Agents: OpenClaw|
Concept #5: ArrayLists|ContextModuleSubHeader|Slides|
Concept #5: ArrayLists|ExternalUrl|S1: Week 15|https://docs.google.com/presentation/d/1dQJ9hUnEiq7ED2wO8ohCZgIYtzCOePzkJNXpvcvkj9Q/edit#slide=id.p
Concept #5: ArrayLists|ExternalUrl|S2: Week 1|https://docs.google.com/presentation/d/1IKJ_2mQlEk_c0ixc6mg2Jr_bwGbQNiLIjQt4RBLyv94/edit#slide=id.g6e6770a07f_0_195
Concept #5: ArrayLists|ExternalUrl|S2:  Week 2|https://docs.google.com/presentation/d/1h_E5YcXVF0YxIkJU2Wm70RNrrIlyn5v55ZNgsZVInlw/edit#slide=id.g265c38fb0f0_0_6
Concept #5: ArrayLists|ExternalUrl|S2: Week 3|https://docs.google.com/presentation/d/1WlMS9gvxLaE5ggskMlS8_9UY-HdhHKjftbV-WnyCe6o/edit#slide=id.g33180def49_0_89
Concept #5: ArrayLists|WikiPage|S2: Week3 |
Concept #5: ArrayLists|WikiPage|S2: Week 4|
Concept #5: ArrayLists|ContextModuleSubHeader|Assessments|
Concept #5: ArrayLists|Assignment|Quiz #1: Concept #5|
Concept #5: ArrayLists|Assignment|Quiz #2: Concept #5|
Concept #5: ArrayLists|Assignment|Quiz #3: Concept #5|
Concept #5: ArrayLists|Assignment|Concept #5: Test|
Concept #5: ArrayLists|ContextModuleSubHeader|Homework|
Concept #5: ArrayLists|Assignment|Week 1: Concept #5: ArrayLists: HW #1|
Concept #5: ArrayLists|Assignment|Week 2: Concept #5: ArrayLists: HW #2|
Concept #5: ArrayLists|Assignment|Week 3: Concept #5: ArrayLists: HW #3|
Concept #5: ArrayLists|Assignment|Week 4: Concept #5: Sound Project|
Concept #5: ArrayLists|Assignment|Week 5: Concept #5: ArrayLists: HW #5 |
Concept #5: ArrayLists|ContextModuleSubHeader|Code|
Concept #5: ArrayLists|ExternalUrl|Week 1|https://docs.google.com/presentation/d/1IKJ_2mQlEk_c0ixc6mg2Jr_bwGbQNiLIjQt4RBLyv94/edit#slide=id.g6e6770a07f_0_195
Concept #5: ArrayLists|ExternalUrl|Week 2|https://classroom.github.com/a/KmmQvxNR
Concept #5: ArrayLists|ExternalUrl|Week 4 - Fork and Clone|https://github.com/ahs-cs-a/s2-w4
Concept #5: ArrayLists|ContextModuleSubHeader|CS in the News|
Concept #5: ArrayLists|Assignment|S2: Week 3: CS in the News: AI and Eithics|
Concept #5: ArrayLists|Assignment|S2: Week 4: CS in the News: AI and Ethics #2|
Concept #4: Iteration|ContextModuleSubHeader|Slides|
Concept #4: Iteration|ExternalUrl|Week 12|https://docs.google.com/presentation/d/13cRp2Vx8EdnP7XQ14BnAi_ESa0Bzi2N44PK2pSp1CDk/edit?slide=id.g71d42906c_0_1#slide=id.g71d42906c_0_1
Concept #4: Iteration|ExternalUrl|Week 13|https://docs.google.com/presentation/d/1GKvpACfnBpnLWgtIbZzcQN3LSdPHLQgYRz8ZDqXKwgg/edit?slide=id.gfd94511664_0_0#slide=id.gfd94511664_0_0
Concept #4: Iteration|ExternalUrl|Week 14|https://docs.google.com/presentation/d/1pd5aMyYAEJyotLjz1vP3alZLWFn9PfYSAVESwWVcngA/edit?slide=id.gad5fada3be_0_67#slide=id.gad5fada3be_0_67
Concept #4: Iteration|ExternalUrl|Week 15|https://docs.google.com/presentation/d/1dQJ9hUnEiq7ED2wO8ohCZgIYtzCOePzkJNXpvcvkj9Q/edit?slide=id.g2b94689a2d_0_16#slide=id.g2b94689a2d_0_16
Concept #4: Iteration|ExternalUrl|Week 16/17|https://docs.google.com/presentation/d/1rVSXFOl-CGZXaCTFOwGNRPIx9vv3AQNtNDMc0mxFiFQ/edit?slide=id.g1061792c322_0_60#slide=id.g1061792c322_0_60
Concept #4: Iteration|ContextModuleSubHeader|Resources|
Concept #4: Iteration|ExternalUrl|Code: s1-w12|https://classroom.github.com/a/7_OzIFhE
Concept #4: Iteration|ExternalUrl|Code: s1-w13|https://classroom.github.com/a/lCEFbipR
Concept #4: Iteration|ExternalUrl|Code: s1-w14|https://classroom.github.com/a/asmBe0xf
Concept #4: Iteration|ExternalUrl|Code: s1-w15|https://classroom.github.com/a/Ha--R_qz
Concept #4: Iteration|ExternalUrl|Code: s1-w16|https://classroom.github.com/a/yMwEY3um
Concept #4: Iteration|ContextModuleSubHeader|Assessements|
Concept #4: Iteration|ContextModuleSubHeader|Homework|
Concept #4: Iteration|Assignment|Week 13: Concept #4: Iteration: HW #1 |
Concept #4: Iteration|Assignment|Week 14: Concept #4: Iteration: HW #2|
Concept #4: Iteration|Assignment|Week 15: Concept #4: Iteration: HW #3|
Concept #4: Iteration|ContextModuleSubHeader|CS in the News|
Concept #4: Iteration|Assignment|Week 12: CS in the News: Algorithms Shaping Our World|
Concept #4: Iteration|Assignment|Week 13: CS in the News: The Oldest Lie on the Internet|
Concept #4: Iteration|Assignment|Week 14: CS in the News: Humanities Final Invention|
Concept #4: Iteration|Assignment|Week 15: CS in the News: With Spatial Intelligence, AI will understand the real world|
Concept #4: Iteration|Assignment|Week 16: Fei Fei - Podcast on World Models and the AI effects|
Concept #4: Iteration|ContextModuleSubHeader|Quiz/Tests|
Concept #4: Iteration|Assignment|Week 13: Concept #4: Quiz #1|
